Waktu Mulai (detik),Waktu Akhir (detik),Teks Transkripsi
0.008,3.008,เวลาคือสิ่งที่วิเศษมันเดินไปได้ยังไงเราเสียเวลาไปได้ยังไงแล้วทำไมมันถึงเดินผ่านไปไว้อย่างรวดเร็วตอนที่เรายังสนุกมีความสุขแต่เดินช้าตอนเราเบื่อคำตอบเหล่านี้มันค้นคบยากแต่มีเจ้าหญิงคนหนึ่งที่รู้จักเวลาดีกว่าใครเจ้าหญิง
29.453,32.453,เอลลอร่าในอนาจักรแห่งเวลา
32.933,35.933,ฮอยอมดูตอมทุกคนเกิดมาพร้อมกับนาลิกาสายวิเศษล่องหนนาลิกาเหล่านี้มันนับเวลาถอยหลังนับสายทุกเม็ดมันจะนับจนตอนช่วงเวลาหนึ่งกำลังจะจบและเริ่มนับใหม่ตอนช่วงเแต่มีแต่เอลลอร่าเท่านั้นที่เห็นนาลิกาสายเหล่านี้เจ้าหญิงเอลลอร่านั้นเกิดมาพร้อมกับพร้อมสวรรค์และนางเรียนรู้ที่จะใช้มันด้วยตัวเองถึงแม้ว่าการมองเห็นว่าความสุขของคนนึงกำลังจะหมดไปนั้นเศร้ามากแต่มันก็เป็นประโยชน์กับเธอ
74.601,76.721,รีบกลับบ้านนะ จะหมดเวลาเล่นแล้ว
76.721,79.721,อาหารค่ำจะพร้อมแล้วนะ รู้ได้ยังไง ข้าสังห่อนใจน่ะ ลีโรย
84.121,87.121,ได้เวลากินข้าวแล้ว แต่อะไร ๆ
89.761,92.761,มันไม่ง่ายแบบนั้นเสมอไปตอนที่นางยังเด็ก
93.861,96.861,พ่อแม่ของนางเห็นอะไรที่น่าเป็นห่วงในตัวนางแต่พวกเขาไม่รู้ว่ามันคืออะไรโอ้
101.709,102.969,ลาราราที่รัก
102.969,105.549,อะไรเหรอจ๊ะแม่คะ
105.549,108.549,คืนนี้คือคืนสุดท้ายที่หนูจะได้ใช้เวลากับแม่นม หมายความว่ายังไงลูกแม่
111.389,114.389,แม่นมของเจ้าจะอยู่กับเจ้าจนกว่าจะจบหน้าร้อน เจ้าพูดถูก
122.769,124.809,พี่เลี้ยงของเจ้าลาออก
124.809,127.809,นางย้ายไปเมืองอื่น เห็นไหม
131.313,134.313,นางทิ้งข้าไป ลูกเป็นเด็กที่มีหลางแม่นจริงๆ แบบนี้โตไปแล้ว ใช้ชีวิตยากแน่
140.773,143.773,ใช่ค่ะ แต่ว่านางรู้ได้ยังไงว่าเพี่เลี้ยงจะไป เดาถูกมั้ง ไม่รู้สิพี่ค่ะ
143.833,146.833,เมื่อโตขึ้น ยิ่งช่วงเวลาเดินผ่านไปเท่าไรความรู้สึกผิดที่ปล่อยให้มันเกิดขึ้นเรื่อยๆ
154.313,157.313,ก็ทำให้นางกลุ้มใจ เวลาของพวกเจ้าจะจบลงแล้วแล้วนะเจ้าหญิง
161.793,164.793,อัลโลร่า เจ้าหญิง อีกไม่นานเจ้าจะถูกเรียกไปออกรอบ เจ้าต้องดื่มดำกับช่วงเวลานี้ให้มากๆ นะ
174.933,177.933,ขออภัยนะเจ้าหญิง แต่ไม่มีอะไรที่จะทำให้ข้าไปจากที่นี่ได้
187.308,190.308,เรามีเวลามากมายในโลกนี้ แน่นอนว่าเอลอร่าพูดถูก
228.533,228.793,ไม่มีใครใช้เวลาให้คุ้มข้าเลย ข้าไม่เห็นใครเลยที่จะทุ่มเทเวลาให้กับคนรักนะเพคะ
228.793,231.793,พวกเขาใช้เวลาไปวัน ๆ ไม่ทำอะไรเลย เปล่าไปเลย นั่นไม่จริงเลย
236.033,239.033,เจ้าควรจะปล่อยวางได้แล้ว อโลร่า เจ้าจะไปหมกม้นกับอะไรแบบนั้นไม่ได้
279.582,282.322,วันนี้คือวันสำคัญ
282.322,285.322,ข้าเอาอะไรมาให้เจ้า พ่อนุ่มคนนี้ เจ้าชายเอดวอด ยินดีต้อนรับเจ้าชายเอดวอดโด
293.002,294.462,แต่ไม่หละท่านพ่อ
294.462,297.462,ข้าไม่มีเวลาให้เจ้าชาย เราจะไม่ทำความรู้จักกันหน่อยเหรอ ข้าคิดดูแล้ว
303.202,306.202,แต่ข้าจะไม่เสียเวลาแบบนั้นหรอก ขอบคุณนะ
307.282,310.181,แต่ว่าไม่หละ ขอล่ะ เอโรล่า เอดร่า
310.181,311.381,เอโรล่า
311.381,312.221,เอดร่า
312.221,315.221,เดินทางมาไกลมาหาเจ้านะ เจ้าไม่ชอบเสียเวลาใช่ไหม และเจ้าทำให้ข้าเสียเวลา
328.241,330.581,ตอนที่ช่วงเวลาของชีวิตเจ้าผ่านไปง่ายๆ
330.581,333.581,เหมือนกับสายลมในภายยุน่ะ ข้าปล่อยให้ชีวิตกำหนดให้ข้าไรเดียงสานัก
336.908,339.908,ไม่มีทางที่เจ้าจะดื่มดำกับพจุบันได้ ถ้าเจ้านะ เอาแต่จะเฝ้ารอช่วงเวลาข้างหน้า
340.548,343.548,เจ้าจะเอาแต่ลืมสิ่งที่อยู่ตรงหน้าของเจ้า ข้าไม่เคยมองแบบนั้นนะ พ่อของเราสองคน
361.108,364.108,อยากให้เรามาทำความรู้จักกัน วันนึงเราอาจจะได้แต่งงานกัน
416.473,418.493,เจ้าจะให้ข้าใช้เวลาที่มีข้าในการทำความรู้จักกับใครที่ไม่รู้จัก
418.493,421.493,ที่จะทำให้เสียเวลาไร้สาระจริงๆ เจ้ากล้าหานมากนะเจ้าหญิง แต่ก็น่าสนใจมากด้วย
423.493,424.153,งั้นข้าอยากจะให้เจ้าสอนถึงข้าของเวลาหน่อย เจ้าโอเคไหมน่ะ?
424.153,427.153,นั่นอะไรน่ะ? เจ้าเห็นมันด้วยเหรอ?
439.488,442.488,เออร่าสอนทุกอย่างที่นางรู้เกี่ยวกับนาลิกาสาย เขาฟังอย่างตั้งใจ
443.848,446.848,แต่สิ่งที่เขาได้เรียนรู้นั้น มันไม่ทำให้เขาสบายใจ
451.008,454.008,เจ้าต้องสงบใจลงหน่อยนะ ไอ้ดวโด้ นาลิกาของเจ้า เจ้าเคยเห็นอะไรแบบนี้มาก่อนไหม ไม่นะ
497.867,498.867,ไม่เลยล่ะ เราจะต้องตามมันไป ไปตามมันกลับมา
498.867,501.867,ไม่มีทางที่นาลิกาของเจ้าจะทำงานได้หรอกแบบนั้น เวลาจะมาหยุดนิ่งๆแบบนี้ไม่ได้
512.007,515.007,ไม่งั้นเจ้าจะหายไปตลอดกัน เห็นไหมล่ะ เวลาจะอยู่นิ่งไม่ได้มันทำให้อะไรวุ่นวายไปหมด
545.146,546.606,เราต้องช่วยเขานะ ยังไงล่ะ แม็กซ์ ซายมาหนีไปเพราะเจ้าเอาแต่ประมาณลักๆ
546.606,549.606,เราอาจจะต้องสอนให้ซายแห่งเวลาให้สบายๆกับช่องเวลาไปนะ
549.646,552.646,ฟังนะ ขอล่ะ บางทีอะไรที่ดีที่สุดนั่นคือการนั่งเฉยๆดูสวนเราสักพรั้งเองนะ
589.371,590.631,เราจะรีบเร่งให้ได้อะไรดีๆในชีวิตไม่ได้ ขอล่ะ อดทนหน่อย
590.631,593.631,ดื่มดำกับผลงานของตัวเอง ใช่แล้วเจ้าหญิงเอลโลล่า ความงามอยู่ที่การเดินทางไม่ใช่จุดหมาย
604.491,607.491,ขอบคุณนะ หลังจากนั้นลิงบอกว่า และบอกว่า และบอกว่า และบอกว่า
610.511,613.511,เขาอยู่กับอะไรเดิมๆสัมๆ การติดอยู่กับอดีตนั้นไม่มีประโยชน์
619.712,621.792,ยำคิดกับอะไรเดิมๆ เจ้ารำเข้าใจแล้ว ข้ารู้ว่ามันเป็นมุกที่เจ้าเคยเล่นแล้ว
621.792,624.792,คนชอบมันนานแล้ว แต่เราจะอยู่กับอดีตไม่ได้นะ ช่วงเวลามันจะต้องผ่านไปเรื่อยๆ
627.692,630.692,เราดื่มดำกับมันได้ตอนมันมาถึง แต่เราจะต้องปล่อยมันไป
640.440,643.440,ลองมุกนี้สิ ชนชั้นสูง ที่หยุดจำไม่ได้ เรียกว่าอะไร
644.860,647.860,อัชชูหรือที่ยูกไง เสียงคล้ายกัน นั่นมันน่าถึงมาก
649.680,652.680,ข้าแปลกใจมากที่เจ้าหัวไหวขนาดนี้นะ ข้าอาจจะทำให้เสียเวลา
655.300,658.300,แต่ข้าไม่ได้โง่อย่างที่เจ้าคิดนะ เอลโลล่า
658.602,660.762,กาละครั้งหนึ่งนานมาแล้ว กาละครั้งหนึ่งนานมาแล้ว
660.762,661.622,กาละครั้งหนึ่งนานมาแล้ว ติดกับเวลาอีกแล้วเหรอ
661.622,664.622,ไม่ มันต่างไปเล็กน้อยนะ อะไรเหรอ เจ้าไม่เห็นหรอ
666.762,669.762,เวลาของเขาจะจบลงแล้ว เขารู้สึกได้ แต่ว่าเขาไม่เข้าใจว่าทำไมช่วงเวลาวัยเด็กของเขา มันกำลังจะจบลงแล้ว
719.885,722.885,เขาจะถูกเรียกไปที่ครัว ไปทำงานเมื่อถึงเวลานั้น เขาจะกลายเป็นผู้ใหญ่
723.205,726.205,โอ้ ไอ้โดโด่ เขากำลังยืดช่วงเวลาสุดท้ายของวัยเด็กชายของเขาเขาน่ะ ไม่ยอมเดินหน้าต่อ
727.985,730.985,และฉันก็...เสียใจมากๆ เราจะช่วยยังไง มาสิ เขาอยากจะให้ใครสักคนมานั่งกับเขาในช่วงเวลาสุดท้าย